antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'鱼腥草'}),frozenset({'茼蒿'}),0.00012851818532322323,0.023133273358180183,0.00012851818532322323,1.0,43.227777777777774,0.00012554513901064383,inf,0.9769922879177377
frozenset({'鲜粽叶(袋)(1)'}),frozenset({'菠菜(份)'}),0.00012851818532322323,0.012723300346999101,0.00012851818532322323,1.0,78.59595959595958,0.00012688300985130456,inf,0.9874035989717223
frozenset({'蔡甸藜蒿(份)'}),frozenset({'西兰花'}),0.00012851818532322323,0.13083151265904125,0.00012851818532322323,1.0,7.643418467583498,0.00011170395673319095,inf,0.8692802056555271
frozenset({'蟹味菇(盒)'}),frozenset({'青梗散花'}),0.00012851818532322323,0.03572805551985606,0.00012851818532322323,1.0,27.989208633093522,0.00012392648046268397,inf,0.9643958868894602
frozenset({'黑皮鸡枞菌(盒)'}),frozenset({'西峡香菇(1)'}),0.00012851818532322323,0.10345713918519471,0.00012851818532322323,1.0,9.66583850931677,0.00011522206153640988,inf,0.8966580976863754
"frozenset({'东门口小白菜', '小米椒'})",frozenset({'螺丝椒'}),0.00012851818532322323,0.04883691042282483,0.00012851818532322323,1.0,20.476315789473684,0.000122241754218889,inf,0.9512853470437019
"frozenset({'姬菇(1)', '云南油麦菜(份)'})",frozenset({'云南油麦菜'}),0.00012851818532322323,0.052178383241228636,0.00012851818532322323,1.0,19.165024630541872,0.00012181231419596084,inf,0.9479434447300771
"frozenset({'大白菜', '平菇'})",frozenset({'云南油麦菜'}),0.00012851818532322323,0.052178383241228636,0.00012851818532322323,1.0,19.165024630541872,0.00012181231419596084,inf,0.9479434447300771
"frozenset({'大白菜', '青杭椒(2)'})",frozenset({'云南油麦菜'}),0.00012851818532322323,0.052178383241228636,0.00012851818532322323,1.0,19.165024630541872,0.00012181231419596084,inf,0.9479434447300771
"frozenset({'云南油麦菜', '青杭椒(2)'})",frozenset({'大白菜'}),0.00012851818532322323,0.03251510088677548,0.00012851818532322323,1.0,30.754940711462453,0.0001243394035616533,inf,0.9676092544987146
"frozenset({'平菇', '青杭椒(2)'})",frozenset({'云南油麦菜'}),0.00012851818532322323,0.052178383241228636,0.00012851818532322323,1.0,19.165024630541872,0.00012181231419596084,inf,0.9479434447300771
"frozenset({'青杭椒(2)', '云南油麦菜'})",frozenset({'平菇'}),0.00012851818532322323,0.016964400462665466,0.00012851818532322323,1.0,58.9469696969697,0.00012633795136066502,inf,0.9831619537275065
"frozenset({'平菇', '菠菜(份)'})",frozenset({'云南生菜'}),0.00012851818532322323,0.09214753887675106,0.00012851818532322323,1.0,10.852161785216179,0.00011667555084478202,inf,0.9079691516709512
"frozenset({'云南生菜(份)', '青线椒(份)'})",frozenset({'净藕(1)'}),0.00012851818532322323,0.09266161161804395,0.00012851818532322323,1.0,10.791955617198335,0.00011660948314894692,inf,0.9074550128534705
"frozenset({'外地茼蒿', '云南生菜(份)'})",frozenset({'金针菇(1)'}),0.00012851818532322323,0.026731782547230434,0.00012851818532322323,1.0,37.40865384615385,0.00012508266513979816,inf,0.9733933161953727
"frozenset({'外地茼蒿', '金针菇(1)'})",frozenset({'云南生菜(份)'}),0.00012851818532322323,0.027245855288523326,0.00012851818532322323,1.0,36.70283018867924,0.00012501659744396307,inf,0.9728791773778921
"frozenset({'红椒(1)', '奶白菜(份)'})",frozenset({'净藕(1)'}),0.00012851818532322323,0.09266161161804395,0.00012851818532322323,1.0,10.791955617198335,0.00011660948314894692,inf,0.9074550128534705
"frozenset({'双孢菇(盒)', '金针菇(1)'})",frozenset({'青梗散花'}),0.00012851818532322323,0.03572805551985606,0.00012851818532322323,1.0,27.989208633093522,0.00012392648046268397,inf,0.9643958868894602
"frozenset({'大白菜', '金针菇(袋)(3)'})",frozenset({'小皱皮'}),0.00012851818532322323,0.0017992545945251252,0.00012851818532322323,1.0,555.7857142857143,0.0001282869483878004,inf,0.9983290488431877
"frozenset({'金针菇(袋)(3)', '小皱皮'})",frozenset({'大白菜'}),0.00012851818532322323,0.03251510088677548,0.00012851818532322323,1.0,30.754940711462453,0.0001243394035616533,inf,0.9676092544987146
"frozenset({'大白菜', '平菇'})",frozenset({'青杭椒(2)'}),0.00012851818532322323,0.001670736409201902,0.00012851818532322323,1.0,598.5384615384615,0.00012830346531175917,inf,0.9984575835475579
"frozenset({'大白菜', '青杭椒(2)'})",frozenset({'平菇'}),0.00012851818532322323,0.016964400462665466,0.00012851818532322323,1.0,58.9469696969697,0.00012633795136066502,inf,0.9831619537275065
"frozenset({'平菇', '青杭椒(2)'})",frozenset({'大白菜'}),0.00012851818532322323,0.03251510088677548,0.00012851818532322323,1.0,30.754940711462453,0.0001243394035616533,inf,0.9676092544987146
"frozenset({'青杭椒(2)', '杏鲍菇(2)'})",frozenset({'奶白菜'}),0.00012851818532322323,0.03534250096388639,0.00012851818532322323,1.0,28.294545454545453,0.00012397603123456027,inf,0.9647814910025706
"frozenset({'青杭椒(2)', '奶白菜'})",frozenset({'杏鲍菇(2)'}),0.00012851818532322323,0.009381827528595297,0.00012851818532322323,1.0,106.58904109589041,0.0001273124498742327,inf,0.9907455012853471
"frozenset({'小米椒', '黄白菜(2)'})",frozenset({'甜白菜'}),0.00012851818532322323,0.012466263976352653,0.00012851818532322323,1.0,80.21649484536083,0.0001269160436992221,inf,0.9876606683804627
"frozenset({'木耳菜', '红椒(2)'})",frozenset({'杏鲍菇(1)'}),0.00012851818532322323,0.017349955018635135,0.00012851818532322323,1.0,57.63703703703704,0.00012628840058878868,inf,0.9827763496143959
"frozenset({'木耳菜', '高瓜(2)'})",frozenset({'黄白菜(2)'}),0.00012851818532322323,0.03187250996015936,0.00012851818532322323,1.0,31.375,0.0001244219881814472,inf,0.9682519280205657
"frozenset({'高瓜(2)', '黄白菜(2)'})",frozenset({'木耳菜'}),0.00012851818532322323,0.010924045752473976,0.00012851818532322323,1.0,91.54117647058823,0.00012711424678672742,inf,0.989203084832905
"frozenset({'紫茄子(2)', '青线椒'})",frozenset({'枝江红菜苔'}),0.00012851818532322323,0.018506618686544147,0.00012851818532322323,1.0,54.03472222222222,0.00012613974827315974,inf,0.9816195372750643
"frozenset({'牛首生菜', '海鲜菇(份)'})",frozenset({'螺丝椒'}),0.00012851818532322323,0.04883691042282483,0.00012851818532322323,1.0,20.476315789473684,0.000122241754218889,inf,0.9512853470437019
"frozenset({'芜湖青椒(1)', '虫草花'})",frozenset({'海鲜菇(袋)(4)'}),0.00012851818532322323,0.005012209227605706,0.00012851818532322323,1.0,199.51282051282053,0.00012787402528883102,inf,0.9951156812339331
"frozenset({'海鲜菇(袋)(4)', '虫草花'})",frozenset({'芜湖青椒(1)'}),0.00012851818532322323,0.1582058861328878,0.00012851818532322323,1.0,6.320877335499594,0.000108185851929972,inf,0.8419023136246786
"frozenset({'随州泡泡青', '菠菜'})",frozenset({'西兰花'}),0.00012851818532322323,0.13083151265904125,0.00012851818532322323,1.0,7.643418467583498,0.00011170395673319095,inf,0.8692802056555271
"frozenset({'金针菇(1)', '金针菇(袋)(2)'})",frozenset({'螺丝椒'}),0.00012851818532322323,0.04883691042282483,0.00012851818532322323,1.0,20.476315789473684,0.000122241754218889,inf,0.9512853470437019
"frozenset({'大白菜', '平菇', '青杭椒(2)'})",frozenset({'云南油麦菜'}),0.00012851818532322323,0.052178383241228636,0.00012851818532322323,1.0,19.165024630541872,0.00012181231419596084,inf,0.9479434447300771
"frozenset({'大白菜', '平菇', '云南油麦菜'})",frozenset({'青杭椒(2)'}),0.00012851818532322323,0.001670736409201902,0.00012851818532322323,1.0,598.5384615384615,0.00012830346531175917,inf,0.9984575835475579
"frozenset({'大白菜', '青杭椒(2)', '云南油麦菜'})",frozenset({'平菇'}),0.00012851818532322323,0.016964400462665466,0.00012851818532322323,1.0,58.9469696969697,0.00012633795136066502,inf,0.9831619537275065
"frozenset({'平菇', '青杭椒(2)', '云南油麦菜'})",frozenset({'大白菜'}),0.00012851818532322323,0.03251510088677548,0.00012851818532322323,1.0,30.754940711462453,0.0001243394035616533,inf,0.9676092544987146
"frozenset({'大白菜', '平菇'})","frozenset({'青杭椒(2)', '云南油麦菜'})",0.00012851818532322323,0.00012851818532322323,0.00012851818532322323,1.0,7781.0,0.00012850166839926445,inf,1.0
"frozenset({'大白菜', '青杭椒(2)'})","frozenset({'平菇', '云南油麦菜'})",0.00012851818532322323,0.00025703637064644646,0.00012851818532322323,1.0,3890.5,0.00012848515147530567,inf,0.9998714652956298
"frozenset({'平菇', '青杭椒(2)'})","frozenset({'大白菜', '云南油麦菜'})",0.00012851818532322323,0.0008996272972625626,0.00012851818532322323,1.0,1111.5714285714287,0.0001284025668555118,inf,0.999228791773779
"frozenset({'青杭椒(2)', '云南油麦菜'})","frozenset({'大白菜', '平菇'})",0.00012851818532322323,0.00012851818532322323,0.00012851818532322323,1.0,7781.0,0.00012850166839926445,inf,1.0
